,nombre,domicilio,alcaldia,latitud,longitud,Colonia name,nivel escolar
78,Escuela Secundaria Tecnica 104,"Unidad Habitacional El Arbolito Dos, Unidad Hab El Arbolillo  2, Delegacion Gustavo A. Madero, Mexico Df.",Gustavo A. Madero,19.52544033536,-99.16373879127,San Jose De La Escalera,Secundaria
79,Primaria General - Profr. Meliton Guzman Romero,"Prolg De Turquesa No 30, Estrella, Delegacion Gustavo A. Madero, Mexico Df.",Gustavo A. Madero,19.47205200015,-99.11615600009,Estrella,Primaria
80,Primaria General - Sixto Nieto Rojas,"Norte 84 No 4538M, Nueva Tenochtitlan, Delegacion Gustavo A. Madero, Mexico Df.",Gustavo A. Madero,19.45681999992,-99.10417299997,Nueva Tenochtitlan,Primaria
81,Preescolar General Con Servicio Asistencial - Dolores Carbajal De Gortari,"Miguel Kramer Esq. Jardin, Atlantida, Delegacion Coyoacan, Mexico Df.",Coyoacán,19.34104612530058,-99.14649228950243,Atlantida,Preescolar
82,"Lactante, Maternal Y Preescolar - Cendi Sep No 08 Luis G Urbina","Retorno 801 M-8 No 18, El Centinela, Delegacion Coyoacan, Mexico Df.",Coyoacán,19.33747999996896,-99.14089899985736,El Centinela,Preescolar
83,Primaria General - Estefania Castañeda,"Carlota Armero S/N, Unidad Habitacional C T M, Delegacion Coyoacan, Mexico Df.",Coyoacán,19.32518000008183,-99.11479399984688,Ctm Vi Culhuacan (U Hab),Primaria
84,Primaria General - Siria,"Japon Y Canton S/N, Romero Rubio, Delegacion Venustiano Carranza, Mexico Df.",Venustiano Carranza,19.44215552523,-99.09963814218,Romero Rubio,Primaria
85,Primaria General - Profr. Rafael Cruz Manjarrez,"Rosal No 248, San Pedro Martir, Delegacion Tlalpan, Mexico Df.",Tlalpan,19.26445400037,-99.16946300004,San Pedro Martir (Pblo),Primaria
86,Primaria General - Martina Islas,"Enseñanza No 3, San Pedro Martir, Delegacion Tlalpan, Mexico Df.",Tlalpan,19.26745300023,-99.16722099999,San Pedro Martir (Pblo),Primaria
87,Primaria General - Heroe Antonio Reyes,"Pto Matamoros Y Mazatlan S/N, Ampliacion Casas Aleman, Delegacion Gustavo A. Madero, Mexico Df.",Gustavo A. Madero,19.47769519792,-99.08027440678,Casas Aleman (Ampl) I,Primaria
