"long","lat","Expediente","Pueblo","Colonia_Ba","Territoria","Alcaldia","Fecha_de_I","Instalado"
-99.186038,19.493667,"2-MAMUNO-AZO-21","NO APLICA","PUEBLO SAN ANDRES","NO APLICA","AZCAPOTZALCO",2021-05-25,"Programa SCALL"
-99.219528,19.475549,"4-MASAHO-AZO-21","NO APLICA","AMPL. SAN PEDRO XALPA","NO APLICA","AZCAPOTZALCO",2021-09-02,"Programa SCALL"
-99.211189,19.480327,"5-LOLOMA-AZO-21","NO APLICA","PUEBLO SANTIAGO AHUIZOTLA","NO APLICA","AZCAPOTZALCO",2021-05-10,"Programa SCALL"
-99.176603,19.486284,"6-SAARJO-AZO-21","NO APLICA","SANTO TOMAS","NO APLICA","AZCAPOTZALCO",2021-05-27,"Programa SCALL"
-99.218356,19.481075,"12-PEALAR-AZO-21","NO APLICA","AMPL. SAN PEDRO XALPA","NO APLICA","AZCAPOTZALCO",2021-08-25,"Programa SCALL"
-99.214365,19.47857,"15-DIESAL-AZO-21","NO APLICA","AMPL. SAN PEDRO XALPA","NO APLICA","AZCAPOTZALCO",2021-05-21,"Programa SCALL"
-99.213542,19.478034,"16-GALOMA-AZO-21","NO APLICA","SANTIAGO AHUIZOTLA","NO APLICA","AZCAPOTZALCO",2021-05-07,"Programa SCALL"
-99.206161,19.476316,"19-GAQUSI-AZO-21","NO APLICA","SAN MIGUEL AMANTLA","NO APLICA","AZCAPOTZALCO",2021-05-06,"Programa SCALL"
-99.206622,19.476088,"21-GAQUDA-AZO-21","NO APLICA","SAN MIGUEL AMANTLA","NO APLICA","AZCAPOTZALCO",2021-05-06,"Programa SCALL"
-99.178576,19.480273,"24-BAAGCA-AZO-21","NO APLICA","SAN SEBASTIAN","NO APLICA","AZCAPOTZALCO",2021-05-27,"Programa SCALL"
-99.214443,19.481324,"25-LOGALI-AZO-21","NO APLICA","AMPL. SAN PEDRO XALPA","NO APLICA","AZCAPOTZALCO",2021-05-19,"Programa SCALL"
-99.216848,19.47882,"27-XXMUPA-AZO-21","NO APLICA","AMPL. SAN PEDRO XALPA","NO APLICA","AZCAPOTZALCO",2021-05-18,"Programa SCALL"
-99.216355,19.480577,"28-CAMEGA-AZO-21","NO APLICA","AMPL. SAN PEDRO XALPA","NO APLICA","AZCAPOTZALCO",2021-05-18,"Programa SCALL"
