_id,expediente,pueblo,scall_col,territorial,fecha_instalacion,capacidad,alcaldia,colonia_datos,latitud,longitud
12091,8817-FRJIBE-MIA-22,VILLA MILPA ALTA,BARRIO LA CONCEPCION,NO APLICA,2022-09-30T00:00:00,2500,MILPA ALTA,VILLA MILPA ALTA (PBLO),19.190473,-99.018828
12092,1408-DEPECL-TLC-22,PUEBLO SANTA CATARINA YECAHUIZOTL,SANTA CATARINA YECAHUIZOTL,NO APLICA,2022-11-01T00:00:00,2500,TLAHUAC,LA JOYITA,19.310852,-98.97035
12093,1443-IBCEPA-IZA-22,NO APLICA,CAMPESTRE POTRERO,SANTA CATARINA,2022-11-08T00:00:00,2500,IZTAPALAPA,CAMPESTRE POTRERO,19.328563,-98.974539
12094,8821-REROES-MIA-22,PUEBLO SAN SALVADOR CUAUHTENCO,NO APLICA,NO APLICA,2022-11-07T00:00:00,2500,MILPA ALTA,SAN SALVADOR CUAUHTENCO (PBLO),19.189746,-99.092656
12095,1444-ULGOED-IZA-22,NO APLICA,CAMPESTRE POTRERO,SANTA CATARINA,2022-10-12T00:00:00,1100,IZTAPALAPA,CAMPESTRE POTRERO,19.328414,-98.974244
12096,1412-VAMELA-TLC-22,PUEBLO SAN FRANCISCO TLALTENCO,SELENE,NO APLICA,2022-10-05T00:00:00,2500,TLAHUAC,SELENE 1a SECC,19.290638,-99.00536
12097,8823-JICAMA-MIA-22,PUEBLO SAN SALVADOR CUAUHTENCO,NO APLICA,NO APLICA,2022-10-27T00:00:00,2500,MILPA ALTA,SAN SALVADOR CUAUHTENCO (PBLO),19.19125,-99.093722
12098,1413-RAGAFE-TLC-22,NO APLICA,LA ESTACION,NO APLICA,2022-10-15T00:00:00,2500,TLAHUAC,LA ESTACION,19.30777,-99.043526
12099,1414-DEPEMA-TLC-22,NO APLICA,LA ESTACION,NO APLICA,2022-10-10T00:00:00,2500,TLAHUAC,LA ESTACION,19.307951,-99.043263
12100,8824-HESAAR-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-10-10T00:00:00,1100,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.223329,-99.000082
12101,1415-MOMESE-TLC-22,NO APLICA,LA ESTACION,NO APLICA,2022-10-25T00:00:00,1100,TLAHUAC,LA ESTACION,19.308138,-99.04308
12102,8825-HECAJU-MIA-22,PUEBLO SAN SALVADOR CUAUHTENCO,AHUATLIXPA PARTE BAJA,NO APLICA,2022-11-08T00:00:00,2500,MILPA ALTA,SAN SALVADOR CUAUHTENCO (PBLO),19.187278,-99.096511
12103,8826-GAVIJU-MIA-22,SANTA ANA TLACOTENCO,BARRIO SAN MIGUEL (STA ANA TLACOTENCO),NO APLICA,2022-10-12T00:00:00,2500,MILPA ALTA,SANTA ANA TLACOTENCO (PBLO),19.17666,-99.002654
12104,8827-MEGUCE-MIA-22,VILLA MILPA ALTA,BARRIO LOS ANGELES,NO APLICA,2022-11-10T00:00:00,2500,MILPA ALTA,VILLA MILPA ALTA (PBLO),19.185061,-99.02448
12105,8828-MOLOGL-MIA-22,SAN PABLO OZTOTEPEC,BARRIO SAN JUAN,NO APLICA,2022-10-07T00:00:00,2500,NA,NA,19.187423,-99.068078
12106,1445-BAJIMA-IZA-22,NO APLICA,CAMPESTRE POTRERO,SANTA CATARINA,2022-10-12T00:00:00,2500,IZTAPALAPA,CAMPESTRE POTRERO,19.328452,-98.974253
12107,8829-MEALAL-MIA-22,SAN PEDRO ATOCPAN,BARRIO PANCHIMALCO,NO APLICA,2022-10-01T00:00:00,2500,MILPA ALTA,SAN PEDRO ATOCPAN (PBLO),19.200879,-99.044835
12108,1447-ANTOGE-IZA-22,NO APLICA,CAMPESTRE POTRERO,SANTA CATARINA,2022-10-12T00:00:00,2500,IZTAPALAPA,CAMPESTRE POTRERO,19.328312,-98.973966
12109,378-SAMEAL-XOO-22,PBO. SANTIAGO TUYLYEHUALCO,GUADALUPITA O BO LA LUPITA (TULYEHUALCO),NO APLICA,2022-10-11T00:00:00,2500,XOCHIMILCO,SANTIAGO TULYEHUALCO (PBLO),19.25522,-99.01323
12110,8831-AYMAMA-MIA-22,PUEBLO SAN SALVADOR CUAUHTENCO,NO APLICA,NO APLICA,2022-10-13T00:00:00,2500,MILPA ALTA,SAN SALVADOR CUAUHTENCO (PBLO),19.1867,-99.089761
12111,8832-JUJUIR-MIA-22,SAN ANTONIO TECOMITL,TEUHTLI,NO APLICA,2022-10-28T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.221537,-99.005592
12112,8833-ROGERO-MIA-22,PUEBLO SAN SALVADOR CUAUHTENCO,NO APLICA,NO APLICA,2022-10-24T00:00:00,1100,MILPA ALTA,SAN SALVADOR CUAUHTENCO (PBLO),19.19265,-99.093483
12113,8834-RERIRO-MIA-22,SANTA ANA TLACOTENCO,BARRIO SAN JOSE,NO APLICA,2022-10-12T00:00:00,2500,MILPA ALTA,SANTA ANA TLACOTENCO (PBLO),19.178101,-99.004115
12114,1448-DOSAJO-IZA-22,NO APLICA,SAN MIGUEL TEOTONGO SECCION GUADALUPE,TEOTONGO ACAHUALTEPC,2022-11-19T00:00:00,1100,IZTAPALAPA,SAN MIGUEL TEOTONGO III,19.340712,-98.981386
