"long","lat","Expediente","Pueblo","Colonia_Ba","Territoria","Alcaldia","Fecha_de_I","Instalado"
-98.9756857690467,19.3289240410586,"J16NRB","TEOTONGO ACAHUALTEPEC","CAMPESTRE POTRERO","TEOTONGO ACAHUALTEPEC","IZTAPALAPA",2019-07-24,"Programa SCALL"
-98.9704024801602,19.3270163765592,"J5WU9F","TEOTONGO ACAHUALTEPEC","CAMPESTRE POTRERO","TEOTONGO ACAHUALTEPEC","IZTAPALAPA",2019-07-24,"Programa SCALL"
-98.969183957385,19.3268535021811,"X4S7RV","TEOTONGO ACAHUALTEPEC","SAN FRANCISCO APOLOCALCO","TEOTONGO ACAHUALTEPEC","IZTAPALAPA",2019-07-23,"Programa SCALL"
-98.9959633513751,19.3347637517142,"F5AXVR","TEOTONGO ACAHUALTEPEC","MIRAVALLES","TEOTONGO ACAHUALTEPEC","IZTAPALAPA",2019-07-25,"Programa SCALL"
-99.0067697934366,19.3539409214876,"M8IJD1","TEOTONGO ACAHUALTEPEC","SANTIAGO ACAHUALTEPEC 1a amp","TEOTONGO ACAHUALTEPEC","IZTAPALAPA",2019-06-06,"Programa SCALL"
-98.9750766854202,19.3276045038987,"I4IQT4","TEOTONGO ACAHUALTEPEC","CAMPESTRE POTRERO","TEOTONGO ACAHUALTEPEC","IZTAPALAPA",2019-07-23,"Programa SCALL"
-99.0129950389402,19.3309224558917,"P5HS5G","TEOTONGO ACAHUALTEPEC","LOMAS DE LA ESTANCIA","TEOTONGO ACAHUALTEPEC","IZTAPALAPA",2019-07-24,"Programa SCALL"
-99.0072452375014,19.3396347863941,"W612U6","TEOTONGO ACAHUALTEPEC","LOMAS DE LA ESTANCIA","TEOTONGO ACAHUALTEPEC","IZTAPALAPA",2019-07-24,"Programa SCALL"
-99.0078073276027,19.3474159198235,"M1LDHS","TEOTONGO ACAHUALTEPEC","SANTIAGO ACAHUALTEPEC 2a amp","TEOTONGO ACAHUALTEPEC","IZTAPALAPA",2019-06-05,"Programa SCALL"
-99.0143278965166,19.3313019251529,"F9J5TR","SANTA CATARINA","XALPA","SANTA CATARINA","IZTAPALAPA",2019-07-24,"Programa SCALL"
-99.01243368855,19.3354140620467,"Y64ZW4","TEOTONGO ACAHUALTEPEC","LOMAS DE LA ESTANCIA","TEOTONGO ACAHUALTEPEC","IZTAPALAPA",2019-07-24,"Programa SCALL"
-99.0138707081206,19.3287082378241,"M7L2Q6","TEOTONGO ACAHUALTEPEC","LOMAS DE LA ESTANCIA","TEOTONGO ACAHUALTEPEC","IZTAPALAPA",2019-07-24,"Programa SCALL"
-99.0086921015528,19.3343569081284,"Y2MLT9","TEOTONGO ACAHUALTEPEC","LOMAS DE LA ESTANCIA","TEOTONGO ACAHUALTEPEC","IZTAPALAPA",2019-07-24,"Programa SCALL"
-99.0092538066739,19.334411104624,"K3TH8D","TEOTONGO ACAHUALTEPEC","LOMAS DE LA ESTANCIA","TEOTONGO ACAHUALTEPEC","IZTAPALAPA",2019-07-24,"Programa SCALL"
-99.0108535029256,19.3385410876108,"R5KFM3","TEOTONGO ACAHUALTEPEC","LOMAS DE LA ESTANCIA","TEOTONGO ACAHUALTEPEC","IZTAPALAPA",2019-07-25,"Programa SCALL"
-99.014918382593,19.3338775250164,"R64L36","SANTA CATARINA","XALPA","SANTA CATARINA","IZTAPALAPA",2019-07-24,"Programa SCALL"
