"long","lat","Expediente","Pueblo","Colonia_Ba","Territoria","Alcaldia","Fecha_de_I","Instalado"
-99.02994,19.347863,"2430-JITILE-IZA-20","NO APLICA","SANTA MARIA AZTAHUACAN","AZTAHUACAN","IZTAPALAPA",2020-10-10,"Programa SCALL"
-99.031736,19.346394,"2431-FRCAMA-IZA-20","NO APLICA","SANTA MARIA AZTAHUACAN","AZTAHUACAN","IZTAPALAPA",2020-09-18,"Programa SCALL"
-99.04662,19.326849,"2432-GAORJO-IZA-20","NO APLICA","DESARROLLO URBANO QUETZALCOATL","SANTA CRUZ QUETZALCOATL","IZTAPALAPA",2020-10-09,"Programa SCALL"
-99.017384,19.337956,"2433-OLCAMA-IZA-20","NO APLICA","XALPA","SANTA CATARINA","IZTAPALAPA",2020-09-22,"Programa SCALL"
-99.02945,19.337755,"2436-HEMIIR-IZA-20","NO APLICA","REFORMA POLITICA","SANTA CATARINA","IZTAPALAPA",2020-10-28,"Programa SCALL"
-99.027042,19.32196,"2438-HEMEGU-IZA-20","NO APLICA","BUENAVISTA","SANTA CATARINA","IZTAPALAPA",2020-10-09,"Programa SCALL"
-99.018523,19.332664,"2439-OLTOAZ-IZA-20","NO APLICA","TENORIOS","SANTA CATARINA","IZTAPALAPA",2020-10-02,"Programa SCALL"
-99.01501,19.368078,"2441-DEMODI-IZA-20","NO APLICA","SANTA MARTHA ACATITLA SUR","ACATITLA DE ZARAGOZA","IZTAPALAPA",2020-09-14,"Programa SCALL"
-99.03267,19.329003,"2444-LOESDI-IZA-20","NO APLICA","BUENAVISTA","SANTA CATARINA","IZTAPALAPA",2020-09-03,"Programa SCALL"
-99.060858,19.322598,"2445-CACAMA-IZA-20","NO APLICA","CONSEJO AGRARISTA","LOS ANGELES AGRARISTA","IZTAPALAPA",2020-09-29,"Programa SCALL"
-99.076771,19.306885,"2446-ROGOJU-IZA-20","NO APLICA","BARRIO SAN ANTONIO","SAN LORENZO TEZONCO","IZTAPALAPA",2020-10-15,"Programa SCALL"
-99.029212,19.338935,"2451-AMCAMA-IZA-20","NO APLICA","REFORMA POLITICA","SANTA CATARINA","IZTAPALAPA",2020-10-05,"Programa SCALL"
-98.974239,19.32734,"2452-TIMECO-IZA-20","NO APLICA","CAMPESTRE POTRERO","TEOTONGO ACAHUALTEPC","IZTAPALAPA",2020-11-11,"Programa SCALL"
-98.975006,19.328337,"2455-DOGANI-IZA-20","NO APLICA","CAMPESTRE POTRERO","TEOTONGO ACAHUALTEPC","IZTAPALAPA",2020-11-12,"Programa SCALL"
-99.037382,19.363682,"2458-BANOHU-IZA-20","NO APLICA","SANTA MARIA AZTAHUACAN","AZTAHUACAN","IZTAPALAPA",2020-11-11,"Programa SCALL"
-99.026651,19.355935,"2459-FLGOMA-IZA-20","NO APLICA","SANTA MARIA AZTAHUACAN","AZTAHUACAN","IZTAPALAPA",2020-09-28,"Programa SCALL"
-99.037051,19.363354,"2461-COSAJU-IZA-20","NO APLICA","SANTA MARIA AZTAHUACAN","AZTAHUACAN","IZTAPALAPA",2020-09-21,"Programa SCALL"
-99.031463,19.347761,"2464-MAPEFR-IZA-20","NO APLICA","SANTA MARIA AZTAHUACAN","AZTAHUACAN","IZTAPALAPA",2020-11-21,"Programa SCALL"
-99.027699,19.347133,"2466-CHRORO-IZA-20","NO APLICA","AMPLIACION SANTA MARIA AZTAHUACAN (EJIDOS DE SANTA MARIA)","AZTAHUACAN","IZTAPALAPA",2020-11-23,"Programa SCALL"
-99.048093,19.328087,"2470-GOROOS-IZA-20","NO APLICA","DESARROLLO URBANO QUETZALCOATL","SANTA CRUZ QUETZALCOATL","IZTAPALAPA",2020-10-05,"Programa SCALL"
-99.045376,19.327592,"2471-AGAZCL-IZA-20","NO APLICA","DESARROLLO URBANO QUETZALCOATL","SANTA CRUZ QUETZALCOATL","IZTAPALAPA",2020-10-09,"Programa SCALL"
-99.04533,19.326693,"2472-VACHTE-IZA-20","NO APLICA","DESARROLLO URBANO QUETZALCOATL","SANTA CRUZ QUETZALCOATL","IZTAPALAPA",2020-10-09,"Programa SCALL"
-99.046458,19.327398,"2473-ARANBA-IZA-20","NO APLICA","DESARROLLO URBANO QUETZALCOATL","SANTA CRUZ QUETZALCOATL","IZTAPALAPA",2020-10-05,"Programa SCALL"
-99.039697,19.33735,"2475-MALUHO-IZA-20","NO APLICA","SANTA CRUZ MEYEHUALCO","SANTA CRUZ QUETZALCOATL","IZTAPALAPA",2020-09-21,"Programa SCALL"
