alcaldia,longitud,latitud,alcaldia_id,año
Iztapalapa,-99.101716,19.348128,007,2020
Iztapalapa,-99.101154,19.375799,007,2020
Iztapalapa,-99.051573,19.319776,007,2020
Iztapalapa,-99.071098,19.374533,007,2020
Iztapalapa,-99.02527,19.326348,007,2020
Iztapalapa,-99.070635,19.3588,007,2020
Iztapalapa,-99.03142,19.35395,007,2020
Iztapalapa,-99.009208,19.360335,007,2020
Iztapalapa,-99.008831,19.344343,007,2020
Iztapalapa,-99.075554,19.38011,007,2020
Iztapalapa,-99.074656,19.290586,007,2020
Iztapalapa,-99.055989,19.336709,007,2020
Iztapalapa,-99.039168,19.340293,007,2020
Iztapalapa,-99.068722,19.303389,007,2020
Iztapalapa,-99.013557,19.336668,007,2020
Iztapalapa,-99.080826,19.300732,007,2020
Iztapalapa,-99.044037,19.340103,007,2020
Iztapalapa,-99.021564,19.347341,007,2020
Iztapalapa,-99.066273,19.296469,007,2020
Iztapalapa,-99.024363,19.343155,007,2020
Iztapalapa,-98.992361,19.336611,007,2020
Iztapalapa,-99.015297,19.332971,007,2020
Iztapalapa,-99.034065,19.337368,007,2020
Iztapalapa,-99.034022,19.328491,007,2020
Iztapalapa,-99.074041,19.306255,007,2020
Iztapalapa,-99.06134,19.319946,007,2020
Iztapalapa,-98.976621,19.329144,007,2020
Iztapalapa,-99.007875,19.336353,007,2020
Iztapalapa,-98.984833,19.338733,007,2020
Iztapalapa,-99.070006,19.295599,007,2020
Iztapalapa,-98.968771,19.326323,007,2020
Iztapalapa,-99.021704,19.365136,007,2020
Iztapalapa,-99.063748,19.319643,007,2020
Iztapalapa,-99.034729,19.332973,007,2020
Iztapalapa,-99.010956,19.338367,007,2020
Iztapalapa,-99.00693,19.357658,007,2020
Iztapalapa,-99.0646,19.380837,007,2020
Iztapalapa,-99.062744,19.37598,007,2020
Iztapalapa,-99.033666,19.331758,007,2020
Iztapalapa,-99.029555,19.326685,007,2020
Iztapalapa,-99.072859,19.30419,007,2020
Iztapalapa,-99.034191,19.322521,007,2020
Iztapalapa,-99.055305,19.322212,007,2020
Iztapalapa,-99.037517,19.324974,007,2020
Iztapalapa,-99.049532,19.327829,007,2020
Iztapalapa,-99.024859,19.327718,007,2020
Iztapalapa,-99.03437,19.337196,007,2020
Iztapalapa,-98.971834,19.328131,007,2020
Iztapalapa,-98.981859,19.342145,007,2020
Iztapalapa,-99.011258,19.343713,007,2020
Iztapalapa,-99.029492,19.350961,007,2020
