Alcaldia,Sexo,Grupos de edad,Poblacion,Sin Escolaridad,Preescolar,Primaria,Secundaria,Estudios técnicos con primaria,Estudios técnicos con secundaria,Prepa,Normal Basica,Estudios técnicos con prepa,Licenciatura,Posgrado,No especificado,alcaldia_id
Coyoacán,Mujeres,80-84 años,6219.0,535,56,2313,710,243,600,415,66,276,831,174,0,003
Coyoacán,Mujeres,85 años y más,6225.0,766,63,2595,676,206,478,364,55,220,671,126,5,003
Cuajimalpa de Morelos,Hombres,03-05 años,4851.0,1526,3244,0,0,0,0,0,0,0,0,0,81,004
Cuajimalpa de Morelos,Hombres,06-09 años,6141.0,93,1433,4556,0,0,0,0,0,0,0,0,59,004
Cuajimalpa de Morelos,Hombres,10-14 años,7952.0,56,37,4896,2900,0,0,0,0,0,0,0,63,004
Cuajimalpa de Morelos,Hombres,15-19 años,8442.0,31,2,317,3028,11,54,4523,0,41,388,0,47,004
Cuajimalpa de Morelos,Hombres,20-24 años,8830.0,80,6,346,1693,17,39,3144,0,129,3259,66,51,004
Cuajimalpa de Morelos,Hombres,25-29 años,8732.0,76,8,379,1850,16,44,2345,0,139,3444,406,25,004
Cuajimalpa de Morelos,Hombres,30-34 años,8547.0,78,4,504,1934,13,46,2206,0,131,2816,795,20,004
Cuajimalpa de Morelos,Hombres,35-39 años,8013.0,94,4,597,2014,11,59,1929,0,130,2245,910,20,004
Cuajimalpa de Morelos,Hombres,40-44 años,7443.0,112,8,690,2070,14,81,1537,0,121,1935,859,16,004
Cuajimalpa de Morelos,Hombres,45-49 años,7399.0,86,4,729,2065,15,73,1557,0,132,1801,908,29,004
Cuajimalpa de Morelos,Hombres,50-54 años,6711.0,110,12,890,1861,8,65,1320,2,110,1570,746,17,004
Cuajimalpa de Morelos,Hombres,55-59 años,5397.0,103,6,889,1311,12,49,923,8,72,1459,562,3,004
Cuajimalpa de Morelos,Hombres,60-64 años,4180.0,90,5,1130,806,8,31,548,2,48,1035,469,8,004
Cuajimalpa de Morelos,Hombres,65-69 años,2897.0,85,7,917,574,13,22,237,6,34,737,262,3,004
Cuajimalpa de Morelos,Hombres,70-74 años,1936.0,111,7,768,266,11,23,134,0,22,404,187,3,004
Cuajimalpa de Morelos,Hombres,75-79 años,1262.0,102,4,530,156,1,10,77,3,8,295,74,2,004
Cuajimalpa de Morelos,Hombres,80-84 años,751.0,81,3,364,68,1,10,43,0,4,130,47,0,004
Cuajimalpa de Morelos,Hombres,85 años y más,511.0,64,0,262,50,0,0,23,0,3,84,25,0,004
Cuajimalpa de Morelos,Mujeres,03-05 años,4673.0,1563,3047,0,0,0,0,0,0,0,0,0,63,004
Cuajimalpa de Morelos,Mujeres,06-09 años,5839.0,73,1292,4419,0,0,0,0,0,0,0,0,55,004
Cuajimalpa de Morelos,Mujeres,10-14 años,7821.0,51,49,4686,2983,3,0,0,0,0,0,0,49,004
Cuajimalpa de Morelos,Mujeres,15-19 años,8334.0,42,5,252,2756,18,45,4661,0,44,451,0,60,004
Cuajimalpa de Morelos,Mujeres,20-24 años,9464.0,62,3,342,1829,16,57,3112,0,178,3717,73,75,004
Cuajimalpa de Morelos,Mujeres,25-29 años,9718.0,62,8,489,2034,12,70,2494,0,160,3834,496,59,004
Cuajimalpa de Morelos,Mujeres,30-34 años,9609.0,107,3,619,2190,12,109,2370,0,206,3184,768,41,004
Cuajimalpa de Morelos,Mujeres,35-39 años,8817.0,115,5,744,2203,19,153,1969,0,210,2611,754,34,004
Cuajimalpa de Morelos,Mujeres,40-44 años,8471.0,126,2,1045,2241,13,190,1663,0,270,2208,681,32,004
Cuajimalpa de Morelos,Mujeres,45-49 años,8481.0,128,8,1163,2321,25,264,1535,0,307,2058,638,34,004
Cuajimalpa de Morelos,Mujeres,50-54 años,7892.0,182,16,1440,2054,26,301,1249,12,313,1814,469,16,004
Cuajimalpa de Morelos,Mujeres,55-59 años,6160.0,165,13,1562,1383,27,226,823,12,194,1403,342,10,004
Cuajimalpa de Morelos,Mujeres,60-64 años,4863.0,195,11,1782,829,38,167,485,15,149,952,232,8,004
Cuajimalpa de Morelos,Mujeres,65-69 años,3362.0,225,6,1458,448,36,118,266,5,110,548,138,4,004
Cuajimalpa de Morelos,Mujeres,70-74 años,2449.0,259,5,1213,261,22,77,157,6,43,311,92,3,004
Cuajimalpa de Morelos,Mujeres,75-79 años,1543.0,244,8,729,121,14,39,134,3,31,175,43,2,004
Cuajimalpa de Morelos,Mujeres,80-84 años,1078.0,199,6,553,77,8,27,78,5,10,84,29,2,004
Cuajimalpa de Morelos,Mujeres,85 años y más,971.0,254,5,455,71,9,18,61,3,19,69,7,0,004
Cuauhtémoc,Hombres,03-05 años,8599.0,2607,5883,0,0,0,0,0,0,0,0,0,109,015
Cuauhtémoc,Hombres,06-09 años,11164.0,119,2650,8306,0,0,0,0,0,0,0,0,89,015
Cuauhtémoc,Hombres,10-14 años,15217.0,59,195,9220,5649,3,0,0,0,0,0,0,91,015
Cuauhtémoc,Hombres,15-19 años,16162.0,74,6,497,5656,22,45,8798,0,75,899,0,90,015
Cuauhtémoc,Hombres,20-24 años,19045.0,65,10,510,2934,25,49,7220,0,248,7737,155,92,015
Cuauhtémoc,Hombres,25-29 años,25021.0,100,11,643,3257,27,68,6082,0,310,12920,1523,80,015
Cuauhtémoc,Hombres,30-34 años,27072.0,125,11,793,3297,35,77,5724,0,329,13333,3267,81,015
Cuauhtémoc,Hombres,35-39 años,23744.0,127,6,846,3279,30,109,5126,0,368,10685,3095,73,015
Cuauhtémoc,Hombres,40-44 años,19976.0,100,5,1062,3473,34,142,4644,0,336,7644,2475,61,015
Cuauhtémoc,Hombres,45-49 años,18634.0,133,9,1136,3688,31,158,4530,6,389,6579,1933,42,015
Cuauhtémoc,Hombres,50-54 años,16398.0,134,14,1265,3416,29,199,4088,16,383,5296,1530,28,015
Cuauhtémoc,Hombres,55-59 años,13993.0,136,11,1449,2860,38,151,3276,27,265,4618,1141,21,015
Cuauhtémoc,Hombres,60-64 años,12776.0,150,15,1800,2465,40,145,2557,10,241,4275,1055,23,015
Cuauhtémoc,Hombres,65-69 años,9666.0,136,9,1785,1820,55,140,1605,11,179,3163,747,16,015
Cuauhtémoc,Hombres,70-74 años,7036.0,140,4,1745,1291,46,126,980,14,143,2103,431,13,015
Cuauhtémoc,Hombres,75-79 años,4341.0,110,11,1372,694,37,73,526,9,90,1167,246,6,015
Cuauhtémoc,Hombres,80-84 años,2705.0,112,14,962,441,19,34,264,1,45,660,151,2,015
Cuauhtémoc,Hombres,85 años y más,2139.0,117,8,883,349,15,33,198,6,29,436,62,3,015
Cuauhtémoc,Mujeres,03-05 años,8514.0,2695,5716,0,0,0,0,0,0,0,0,0,103,015
Cuauhtémoc,Mujeres,06-09 años,10760.0,121,2536,8016,0,0,0,0,0,0,0,0,87,015
Cuauhtémoc,Mujeres,10-14 años,14690.0,40,180,8828,5528,6,0,0,0,0,0,0,108,015
Cuauhtémoc,Mujeres,15-19 años,15628.0,58,14,333,4931,15,55,8959,0,74,1113,0,76,015
Cuauhtémoc,Mujeres,20-24 años,19252.0,54,9,487,2652,24,75,6501,0,270,8867,229,84,015
Cuauhtémoc,Mujeres,25-29 años,25150.0,77,13,575,3124,26,108,5637,0,367,13357,1802,64,015
Cuauhtémoc,Mujeres,30-34 años,26745.0,101,11,705,3362,52,161,5354,0,464,13091,3387,57,015
Cuauhtémoc,Mujeres,35-39 años,24149.0,140,9,989,3521,49,249,5122,0,552,10426,3036,56,015
Cuauhtémoc,Mujeres,40-44 años,21015.0,153,15,1271,3844,54,470,4655,0,675,7634,2189,55,015
Cuauhtémoc,Mujeres,45-49 años,20138.0,174,9,1558,4217,102,768,4480,7,967,6230,1593,33,015
Cuauhtémoc,Mujeres,50-54 años,19334.0,229,18,2123,4163,137,1129,4126,60,1067,5045,1215,22,015
Cuauhtémoc,Mujeres,55-59 años,17084.0,268,22,2705,3560,169,1238,3143,68,891,4113,893,14,015
Cuauhtémoc,Mujeres,60-64 años,16742.0,360,27,3743,3098,349,1362,2513,65,773,3693,745,14,015
Cuauhtémoc,Mujeres,65-69 años,12671.0,391,37,3680,2149,411,1159,1554,69,603,2184,426,8,015
Cuauhtémoc,Mujeres,70-74 años,9884.0,452,27,3415,1478,451,897,884,84,463,1437,286,10,015
Cuauhtémoc,Mujeres,75-79 años,6478.0,442,35,2589,851,327,506,491,55,291,753,136,2,015
Cuauhtémoc,Mujeres,80-84 años,4863.0,408,19,2210,616,215,368,307,25,178,443,70,4,015
Cuauhtémoc,Mujeres,85 años y más,4508.0,575,27,2266,475,137,285,213,38,117,307,62,6,015
Gustavo A. Madero,Hombres,03-05 años,21665.0,8250,13184,0,0,0,0,0,0,0,0,0,231,005
Gustavo A. Madero,Hombres,06-09 años,28871.0,257,7212,21208,0,0,0,0,0,0,0,0,194,005
Gustavo A. Madero,Hombres,10-14 años,39042.0,121,382,23947,14355,8,0,0,0,0,0,0,229,005
Gustavo A. Madero,Hombres,15-19 años,43052.0,136,17,1143,15435,58,100,23473,0,161,2379,0,150,005
Gustavo A. Madero,Hombres,20-24 años,46768.0,642,8,1199,8146,54,187,17620,0,571,17864,330,147,005
Gustavo A. Madero,Hombres,25-29 años,46369.0,1270,19,1576,8788,67,207,13658,0,567,18553,1589,75,005
Gustavo A. Madero,Hombres,30-34 años,43437.0,1442,15,1889,9195,47,210,12574,0,617,15432,1976,40,005
Gustavo A. Madero,Hombres,35-39 años,40516.0,1440,27,2365,9649,50,308,11532,0,642,12642,1792,69,005
Gustavo A. Madero,Hombres,40-44 años,38783.0,1243,14,3086,10321,60,374,10466,0,718,10664,1795,42,005
Gustavo A. Madero,Hombres,45-49 años,39825.0,1034,22,3523,11545,76,515,10863,10,739,9855,1595,48,005
Gustavo A. Madero,Hombres,50-54 años,37979.0,815,18,4362,10749,62,567,10064,43,783,9138,1344,34,005
Gustavo A. Madero,Hombres,55-59 años,32164.0,584,28,4886,8365,78,452,7669,45,574,8250,1213,20,005
Gustavo A. Madero,Hombres,60-64 años,27902.0,549,25,6113,6345,114,375,5462,48,348,7327,1179,17,005
Gustavo A. Madero,Hombres,65-69 años,20530.0,533,40,5833,4504,116,354,3084,34,245,4991,786,10,005
Gustavo A. Madero,Hombres,70-74 años,15486.0,628,36,5688,3087,133,301,1815,43,206,3081,460,8,005
Gustavo A. Madero,Hombres,75-79 años,10673.0,656,42,4750,1810,84,197,922,37,132,1782,259,2,005
Gustavo A. Madero,Hombres,80-84 años,7062.0,583,26,3562,1011,55,99,494,24,82,985,140,1,005
Gustavo A. Madero,Hombres,85 años y más,5681.0,657,20,3206,640,42,76,320,15,39,610,54,2,005
Gustavo A. Madero,Mujeres,03-05 años,20950.0,7636,13062,0,0,0,0,0,0,0,0,0,252,005
Gustavo A. Madero,Mujeres,06-09 años,28149.0,210,6891,20820,0,0,0,0,0,0,0,0,228,005
Gustavo A. Madero,Mujeres,10-14 años,38407.0,88,376,23239,14500,7,0,0,0,0,0,0,197,005
Gustavo A. Madero,Mujeres,15-19 años,41281.0,98,22,804,13382,58,177,23639,0,190,2731,0,180,005
Gustavo A. Madero,Mujeres,20-24 años,44809.0,148,13,932,7044,62,245,15892,0,693,19304,345,131,005
Gustavo A. Madero,Mujeres,25-29 años,45079.0,139,14,1252,8051,62,336,13412,0,761,19280,1703,69,005
Gustavo A. Madero,Mujeres,30-34 años,44189.0,183,25,1759,9097,76,531,12481,0,1010,16654,2286,87,005
Gustavo A. Madero,Mujeres,35-39 años,43083.0,260,23,2525,10260,97,834,11725,0,1218,13870,2201,70,005
Gustavo A. Madero,Mujeres,40-44 años,42720.0,429,31,3580,11262,100,1437,10526,0,1532,11980,1767,76,005
Gustavo A. Madero,Mujeres,45-49 años,44866.0,440,30,4563,12552,203,2502,10294,27,1984,10521,1691,59,005
Gustavo A. Madero,Mujeres,50-54 años,44541.0,706,41,6510,11972,273,2961,9221,154,2013,9314,1347,29,005
Gustavo A. Madero,Mujeres,55-59 años,37842.0,757,47,8100,8985,448,2814,6344,253,1542,7420,1113,19,005
Gustavo A. Madero,Mujeres,60-64 años,34192.0,1073,60,10509,6892,793,2639,4186,237,1166,5773,850,14,005
Gustavo A. Madero,Mujeres,65-69 años,26030.0,1219,61,10180,4559,949,2229,2261,160,830,3120,455,7,005
Gustavo A. Madero,Mujeres,70-74 años,20814.0,1534,79,9342,2848,1022,1694,1231,173,615,2035,229,12,005
Gustavo A. Madero,Mujeres,75-79 años,14406.0,1549,56,7211,1596,706,1033,595,145,344,1038,124,9,005
Gustavo A. Madero,Mujeres,80-84 años,10617.0,1480,56,5716,1023,418,602,353,87,181,633,64,4,005
Gustavo A. Madero,Mujeres,85 años y más,10076.0,2062,67,5631,772,312,384,224,49,145,383,43,4,005
Iztacalco,Hombres,03-05 años,6898.0,2362,4468,0,0,0,0,0,0,0,0,0,68,006
Iztacalco,Hombres,06-09 años,9413.0,79,2532,6741,0,0,0,0,0,0,0,0,61,006
Iztacalco,Hombres,10-14 años,12900.0,43,250,7816,4736,4,0,0,0,0,0,0,51,006
Iztacalco,Hombres,15-19 años,14264.0,23,8,352,5120,13,63,7850,0,90,681,0,64,006
Iztacalco,Hombres,20-24 años,15348.0,46,5,349,2594,16,73,6234,0,242,5666,75,48,006
Iztacalco,Hombres,25-29 años,15573.0,67,9,419,2675,11,70,4754,0,256,6765,507,40,006
Iztacalco,Hombres,30-34 años,15482.0,69,7,509,2935,21,99,4446,0,277,6298,783,38,006
Iztacalco,Hombres,35-39 años,14487.0,80,10,659,2815,24,119,4249,0,280,5361,866,24,006
Iztacalco,Hombres,40-44 años,13514.0,82,12,892,3122,23,141,3932,0,303,4283,693,31,006
