nombre,domicilio,colonia,alcaldia,latitud,longitud
PRIMARIA GENERAL - OMETECUHTLI,"PRIV.SAN JUAN NO.17, RICARDO FLORES MAGON, DELEGACION IZTAPALAPA, MEXICO DF.",EL SANTUARIO,IZTAPALAPA,19.35468042072,-99.09681946536
PRIMARIA GENERAL - EMPERADOR ITZCOATL,"AV.MEXICO NO.1, PARAISO, DELEGACION IZTAPALAPA, MEXICO DF.",PARAISO,IZTAPALAPA,19.37696900023,-99.03679399991
PRIMARIA GENERAL - BENITO JUAREZ,"JALAPA NO 272, ROMA SUR, DELEGACION CUAUHTEMOC, MEXICO DF.",ROMA SUR I,CUAUHTEMOC,19.40945199991009,-99.15990899989453
PREESCOLAR GENERAL - YECAHUIZOTL,"AVENIDA SANTA CATARINA Y MARIANO HGO, PUEBLO STA CATARINA YECAHUIZOTL, DELEGACION TLAHUAC, MEXICO DF.",SANTA CATARINA YECAHUIZOTL (PBLO),TLAHUAC,19.30921676684,-98.96992314239
PRIMARIA GENERAL - FORJADORES DE LA CULTURA,"AV 539 PLAZA 9, U SAN JUAN DE ARAGON, DELEGACION GUSTAVO A. MADERO, MEXICO DF.",SAN JUAN DE ARAGON 2A SECCION (U HAB) II,GUSTAVO A. MADERO,19.4578029999,-99.08681899979
PREESCOLAR GENERAL - DR. JOSE I. GALICIA,"LA CENICIENTA S/N, MIGUEL HIDALGO, DELEGACION TLAHUAC, MEXICO DF.",MIGUEL HIDALGO,TLAHUAC,19.28747200013,-99.04743199991
PREESCOLAR GENERAL - DAVID VILCHIS,"DIVISION DEL NORTE Y BAMBU, XOTEPINGO, DELEGACION COYOACAN, MEXICO DF.",EL ROSEDAL II,COYOACAN,19.33861199973273,-99.14799299994586
PRIMARIA GENERAL - TLAMACHKALI,"PONCIANO ARRIAGA S/N, LA NOPALERA, DELEGACION TLAHUAC, MEXICO DF.",UNIDADES HABITACIONALES DE SANTA ANA PONIENTE II,TLAHUAC,19.3037880002,-99.04307900007
PRIMARIA GENERAL - LIBERACION CAMPESINA,"MARISCAL ROMMEL Y SANCHEZ COLIN, COLONIA PROVIDENCIA, DELEGACION AZCAPOTZALCO, MEXICO DF.",PROVIDENCIA,AZCAPOTZALCO,19.4921384822288,-99.20862689634323
PRIMARIA GENERAL - PROFR. RAMON ESPINOSA VILLANUEVA,"CALLE 3 S/N.Y CARRIL, SAN JUAN XALPA, DELEGACION IZTAPALAPA, MEXICO DF.",SAN JUAN XALPA I,IZTAPALAPA,19.33899365535,-99.08506976684
ESCUELA SECUNDARIA TECNICA 53,"CALLE 31, 6 Y 29, SANTA CRUZ MEYEHUALCO, DELEGACION IZTAPALAPA, MEXICO DF.",SANTA CRUZ MEYEHUALCO (U HAB) I,IZTAPALAPA,19.34480721083,-99.03885194983
TELESECUNDARIA 52,"AV ERMITA IZTAPALAPA Y JOAQUIN B, EL SANTUARIO, DELEGACION IZTAPALAPA, MEXICO DF.",EL SANTUARIO,IZTAPALAPA,19.35586704285,-99.09540038478
PRIMARIA GENERAL - MEXICO-JAPON,"CHIMALPOPOCA NO.1, MIXCOATL, DELEGACION IZTAPALAPA, MEXICO DF.",MIXCOATL,IZTAPALAPA,19.32430098233,-99.04939538181
PRIMARIA GENERAL - REPUBLICA DE LIBERIA,"RET 29 DE FRAY SERVANDO T M, JARDIN BALBUENA, DELEGACION VENUSTIANO CARRANZA, MEXICO DF.",JARDIN BALBUENA III,VENUSTIANO CARRANZA,19.41563768035,-99.10071826802
PRIMARIA GENERAL - LORENZO PEDRERO PADILLA,"NORTE 31-A NO 143, UNIDAD LINDAVISTA VALLEJO, DELEGACION GUSTAVO A. MADERO, MEXICO DF.",LINDAVISTA VALLEJO (U HAB),GUSTAVO A. MADERO,19.49953900021,-99.15075999995
PRIMARIA GENERAL - MTRO. MIGUEL A. QUINTANA,"BONAO Y SIERRA VISTA NO 88, LINDAVISTA, DELEGACION GUSTAVO A. MADERO, MEXICO DF.",LINDAVISTA II,GUSTAVO A. MADERO,19.50056255919,-99.13051120283
SECUNDARIA GENERAL - DR. ENRIQUE GONZALEZ MARTINEZ,"AV SAN JUAN Y TALISMAN, INDUSTRIAL, DELEGACION GUSTAVO A. MADERO, MEXICO DF.",GRANJAS MODERNAS-SAN JUAN DE ARAGON (AMPL),GUSTAVO A. MADERO,19.47253786265,-99.10513646459
PRIMARIA GENERAL - MARTIRES DEL AGRARISMO,"CALZ SAN ISIDRO Y FRANCITA S/N, PETROLERA, DELEGACION AZCAPOTZALCO, MEXICO DF.",PETROLERA,AZCAPOTZALCO,19.48340499989032,-99.2007589997919
PREESCOLAR GENERAL CON SERVICIO ASISTENCIAL - JORGE LUIS BORGES,"FRANCISCO VILLA Y ESTADO DE MEXICO, LOMA DE LA PALMA, DELEGACION GUSTAVO A. MADERO, MEXICO DF.",LOMA DE LA PALMA,GUSTAVO A. MADERO,19.54794340908,-99.14310882374
PREESCOLAR GENERAL - COMPOSITORES MEXICANOS,"CDA. ABEL DOMINGUEZ LTE 13 MZA 87, COMPOSITORES MEXICANOS, DELEGACION GUSTAVO A. MADERO, MEXICO DF.",COMPOSITORES MEXICANOS,GUSTAVO A. MADERO,19.56413200009,-99.13879500015
PRIMARIA GENERAL - GRAL. GERTRUDIS G. SANCHEZ,"NORTE 84 A Y ORIENTE 115, GERTRUDIS SANCHEZ 1A SECCION, DELEGACION GUSTAVO A. MADERO, MEXICO DF.",GERTRUDIS SANCHEZ 2A SECCION,GUSTAVO A. MADERO,19.46389226099,-99.10041834576
PRIMARIA GENERAL - GREGORIO TORRES QUINTERO,"CALLE DE LA PIEDAD S/N, LOMA DE LA PALMA, DELEGACION GUSTAVO A. MADERO, MEXICO DF.",LOMA DE LA PALMA,GUSTAVO A. MADERO,19.55274796962,-99.13940228209
PREESCOLAR GENERAL - ERMILO ABREU GOMEZ,"AV. RIO SAN JAVIER S/N, JORGE NEGRETE, DELEGACION GUSTAVO A. MADERO, MEXICO DF.",LA CANDELARIA TICOMAN (BARR),GUSTAVO A. MADERO,19.51894418484,-99.14247275055
PRIMARIA GENERAL - GRAL. JOSE MARIANO MONTERDE,"ZONA HAB DEL H COLEGIO MILITAR, SAN PEDRO MARTIR, DELEGACION TLALPAN, MEXICO DF.",SAN PEDRO MARTIR (PBLO),TLALPAN,19.263508079573,-99.17043730438
PRIMARIA GENERAL - MAESTRO MANUEL BORJA SORIANO,"ETEN NO 716, LINDAVISTA, DELEGACION GUSTAVO A. MADERO, MEXICO DF.",LINDAVISTA I,GUSTAVO A. MADERO,19.49288899992,-99.1382330001
PREESCOLAR GENERAL - TZINTI,"CUAUHTEMOC S/N, PUEBLO QUIETO, DELEGACION TLAHUAC, MEXICO DF.",TORIELLO GUERRA,TLALPAN,19.29806900009,-99.16051500025
SECUNDARIA GENERAL - REPUBLICA DE GUATEMALA,"ORIENTE 95 Y NORTE 64-A, MARTIRES DE RIO BLANCO, DELEGACION GUSTAVO A. MADERO, MEXICO DF.",MARTIRES DE RIO BLANCO,GUSTAVO A. MADERO,19.46156919601,-99.1113611998
SECUNDARIA GENERAL - OLOF PALME,"PROL CUAUHTEMOC Y AV ATZAYACATL, SANTA ISABEL TOLA, DELEGACION GUSTAVO A. MADERO, MEXICO DF.",SANTA ISABEL TOLA (PBLO),GUSTAVO A. MADERO,19.49765501824,-99.11480149057
PRIMARIA GENERAL - PROFR. CASTULO RAMIREZ LUGO,"FERNANDO ARRUTI NO.87, AMPLIACION SANTA MARTHA, DELEGACION IZTAPALAPA, MEXICO DF.",STA MARTHA ACATITLA NTE (AMPL) I,IZTAPALAPA,19.37847296989,-99.01859098389
TELESECUNDARIA 1,"M LERDO DE TEJADA Y E URANGA S/N, EL TEPETATAL, DELEGACION GUSTAVO A. MADERO, MEXICO DF.",TEPETATAL,GUSTAVO A. MADERO,19.56238081196,-99.13832651057
PREESCOLAR GENERAL - HUITZITZILIN,"MUICLE Y PIÑUELA S/N, EL MOLINO IATAPALAPA, DELEGACION IZTAPALAPA, MEXICO DF.",CANANEA (U HAB),IZTAPALAPA,19.29291136737,-99.06916293776
PRIMARIA GENERAL - HEROES DE ZACAPOAXTLA,"NORTE 21 NO 110 BIS, MOCTEZUMA 2A SECCION, DELEGACION VENUSTIANO CARRANZA, MEXICO DF.",MOCTEZUMA 2A SECCION II,VENUSTIANO CARRANZA,19.43057400005,-99.09618800005
PREESCOLAR GENERAL - RAFAEL DONDE,"AV MEXICO 68 S/N 7A SECCION, PEDREGAL DE CARRASCO, DELEGACION COYOACAN, MEXICO DF.",VILLA PANAMERICANA 7MA. SECCIN (U HAB),COYOACAN,19.30469636143944,-99.16894373931312
PRIMARIA GENERAL - ARTEMIO DE VALLE ARIZPE,"PRIV CUCURPE NO 10, EL PARQUE, DELEGACION VENUSTIANO CARRANZA, MEXICO DF.",EL PARQUE,VENUSTIANO CARRANZA,19.41489656298,-99.11840642653
PREESCOLAR GENERAL - MAGDALENA MIXIUHCA,"EJE 4 Y TRIGO, EX-EJIDO MAGDALENA MIXHUCA, DELEGACION IZTACALCO, MEXICO DF.",EX EJIDOS DE LA MAGDALENA MIXIHUCA,IZTACALCO,19.39320008684,-99.08912104698
PREESCOLAR GENERAL - YOLOXOCHITL,"PROLONGACION CALLE 7 Y AV. DEL ROSAL, COLONIA OLIVAR DEL CONDE 1A SECCION, DELEGACION ALVARO OBREGON, MEXICO DF.",OLIVAR DEL CONDE 1RA SECCION I,ALVARO OBREGON,19.37297272970199,-99.20618486765008
ESCUELA SECUNDARIA TECNICA 111,"OYAMELES ESQ. FRANCISCO CESAR MORALES S/N, CONJ HABIT SOLIDARIDAD INFONAVIT, DELEGACION IZTAPALAPA, MEXICO DF.",SOLIDARIDAD EL SALADO (U HAB),IZTAPALAPA,19.37057499989,-99.0068699999
PRIMARIA GENERAL - TLAZOTLI,"AV. HIDALGO Y CALLE 30 NO 38, COLONIA OLIVAR DEL CONDE 2A SECCION, DELEGACION ALVARO OBREGON, MEXICO DF.",OLIVAR DEL CONDE 2DA SECCION II,ALVARO OBREGON,19.37100099996663,-99.22001899998452
PREESCOLAR GENERAL CON SERVICIO ASISTENCIAL - MIGUEL LEON PORTILLA,"FRESNOS S/N, COLONIA TORRES DE POTRERO, DELEGACION ALVARO OBREGON, MEXICO DF.",PREDIO LA ANGOSTURA,ALVARO OBREGON,19.32977499987214,-99.24219900001958
PRIMARIA GENERAL - HIMNO NACIONAL MEXICANO,"FISCALES S/N, AMPLIACION SIFON, DELEGACION IZTAPALAPA, MEXICO DF.",EL SIFON,IZTAPALAPA,19.37249899962,-99.11318499996
SECUNDARIA GENERAL - JOSE PAGES LLERGO,"CALZ DE LA NARANJA NO 745, SANTIAGO AHUIZOTLA, DELEGACION AZCAPOTZALCO, MEXICO DF.",SANTIAGO AHUIZOTLA (PBLO),AZCAPOTZALCO,19.47272100013633,-99.2120969999836
PRIMARIA GENERAL - MANUEL DOBLADO,"HENEQUEN NO 40, COLONIA ESTADO DE HIDALGO, DELEGACION ALVARO OBREGON, MEXICO DF.",LAS PALMAS,ALVARO OBREGON,19.39887400939853,-99.210245177216
SECUNDARIA GENERAL - VICENTE RIVA PALACIO GUERRERO,"AV CIVILIZACIONES Y ALDEBARRAN, UNIDAD INFONAVIT EL ROSARIO, DELEGACION AZCAPOTZALCO, MEXICO DF.",EL ROSARIO A (U HAB),AZCAPOTZALCO,19.50870599946017,-99.2074879999571
SECUNDARIA GENERAL - SECUNDARIA FEDERAL,"VENUSTIANO CARRANZA NO 121, CUAUTEPEC DE MADERO, DELEGACION GUSTAVO A. MADERO, MEXICO DF.",VALLE DE MADERO,GUSTAVO A. MADERO,19.549639000204,-99.13685
PRIMARIA GENERAL - TRINIDAD Y TOBAGO,"JUAN FCO Y PTO ENSENADA, EL OLIVO, DELEGACION GUSTAVO A. MADERO, MEXICO DF.",EL OLIVO,GUSTAVO A. MADERO,19.472658759758,-99.08671000008
PRIMARIA GENERAL - JUAN MONTALVO,"MIGUEL ANGEL Y NAPOLEON, MODERNA, DELEGACION BENITO JUAREZ, MEXICO DF..",MODERNA,BENITO JUAREZ,19.39535599979973,-99.13533900008882
PRIMARIA GENERAL - HEROES DEL 47,"MIGUEL NEGRETE NO 10, NATIVITAS, DELEGACION BENITO JUAREZ, MEXICO DF..",CENTRO I,VENUSTIANO CARRANZA,19.4338679365153,-99.1237539297146
PRIMARIA GENERAL - HIDROELECTRICA DE CUPATITZIO,NA,LA ESMERALDA II,GUSTAVO A. MADERO,19.48627700026,-99.086213
PREESCOLAR GENERAL - GALACION GOMEZ,"TETRAZZINI NO 97, PERALVILLO, DELEGACION CUAUHTEMOC, MEXICO DF.",PERALVILLO II,CUAUHTEMOC,19.46078299994926,-99.13327099978
PRIMARIA GENERAL - PROFRA. MARIA HAZAS VARGAS,"PIPILA NO. 2 Y AV. DE LAS TORRES, SAN MIGUEL TEOTONGO, DELEGACION IZTAPALAPA, MEXICO DF.",SAN MIGUEL TEOTONGO II,IZTAPALAPA,19.34791315525,-98.99521808035
PRIMARIA GENERAL - PINTOR DIEGO RIVERA,"AV MORELOS S/N, PUEBLO SAN SALVADOR CUAUHTENCO, DELEGACION MILPA ALTA, MEXICO DF.",SAN SALVADOR CUAUHTENCO (PBLO),MILPA ALTA,19.19222541179,-99.08950581688
PRIMARIA GENERAL - JUAREZ Y CONSTITUCION,"FRANCISCO PRESA NO 3, BARRIO SAN SEBASTIAN, DELEGACION XOCHIMILCO, MEXICO DF.",SANTIAGO TULYEHUALCO (PBLO),XOCHIMILCO,19.25560199966,-99.01051800009
PRIMARIA GENERAL - GRAL. VICENTE GUERRERO,"MELCHOR MUZQUIZ NO 116, ESTANZUELA, DELEGACION GUSTAVO A. MADERO, MEXICO DF.",MARTIN CARRERA II,GUSTAVO A. MADERO,19.49072399997,-99.10482199986
SECUNDARIA PARA TRABAJADORES 64,"CERRADA DE MINA S/N, PUEBLO SAN MATEO TLALTENANGO, DELEGACION CUAJIMALPA DE MORELOS, MEXICO DF.",SAN MATEO TLALTENANGO (PBLO),CUAJIMALPA DE MORELOS,19.34275499998815,-99.28110399990136
PRIMARIA GENERAL - TONATIUH,"V CARRANZA Y GABRIEL GUERRA, CUAUTEPEC BARRIO BAJO, DELEGACION GUSTAVO A. MADERO, MEXICO DF.",BENITO JUAREZ,GUSTAVO A. MADERO,19.533197999975,-99.13971099995
PRIMARIA GENERAL - INVESTIGACION EDUCATIVA,"HUIZACHITO NO 91, HUIZACHITO LA PALMA, DELEGACION CUAJIMALPA DE MORELOS, MEXICO DF.",JARDINES DE LA PALMA (HUIZACHITO),CUAJIMALPA DE MORELOS,19.37250200007524,-99.28000600003736
PRIMARIA GENERAL - SUAVE PATRIA,"AV 20 DE NOVIEMBRE S/N, 25 DE JULIO, DELEGACION GUSTAVO A. MADERO, MEXICO DF.",25 DE JULIO,GUSTAVO A. MADERO,19.494391139332,-99.08195400689
"INTERVENCION TEMPRANA, PREESCOLAR, PRIMARIA Y CAPACITACION LABORAL ESPECIAL - CENTRO DE ATENCION MULTIPLE 88","MITLA Y SERAFIN OLARTE S/N, INDEPENDENCIA, DELEGACION BENITO JUAREZ, MEXICO DF..",INDEPENDENCIA,BENITO JUAREZ,19.38050365329715,-99.15102819412456
"INTERVENCION TEMPRANA, PREESCOLAR, PRIMARIA Y CAPACITACION LABORAL ESPECIAL - CENTRO DE ATENCION MULTIPLE 90  M","AV  DIVISION DEL NORTE NO  3229, EL ROSEDAL, DELEGACION COYOACAN, MEXICO DF.",EL ROSEDAL I,COYOACAN,19.33932899990298,-99.14805200016336
PREESCOLAR GENERAL - REPUBLICA DE NICARAGUA,"CALIZ NO 7, EL RELOJ, DELEGACION COYOACAN, MEXICO DF.",EL RELOJ,COYOACAN,19.31836300000563,-99.13992100000968
PRIMARIA GENERAL - PROFR. MOISES SAENZ,"FELIX ROMERO NO 60, CONSTITUCION DE LA REPUBLICA, DELEGACION GUSTAVO A. MADERO, MEXICO DF.",CONSTITUCION DE LA REPUBLICA,GUSTAVO A. MADERO,19.48296799987,-99.10097499995
ESCUELA SECUNDARIA TECNICA 99,"CONGRESO DE LA UNION Y ENRIQUETA, BONDOJITO, DELEGACION GUSTAVO A. MADERO, MEXICO DF.",BONDOJITO,GUSTAVO A. MADERO,19.4683086364813,-99.11012092715
SECUNDARIA GENERAL - RAMON DOMINGUEZ RAMON,"TACUBA NO 19, COLONIA MERCED GOMEZ, DELEGACION ALVARO OBREGON, MEXICO DF",MERCED GOMEZ,ALVARO OBREGON,19.36529100006313,-99.1989070001615
PRIMARIA GENERAL - CARMEN SERDAN,"PURISIMA S/N, COLONIA SAN BARTOLO AMEYALCO, DELEGACION ALVARO OBREGON, MEXICO DF.",SAN BARTOLO AMEYALCO (PBLO),ALVARO OBREGON,19.3306599999993,-99.2751190000073
PREESCOLAR GENERAL - AVE REAL,"CALLE PERDIZ Y ZACUA, COLONIA AVE REAL, DELEGACION ALVARO OBREGON, MEXICO DF.",AVE REAL,ALVARO OBREGON,19.362005787838662,-99.23840034835588
PRIMARIA GENERAL - ANDRES OSUNA,"AV DE ANZAR S/N, GRANJAS MODERNAS, DELEGACION GUSTAVO A. MADERO, MEXICO DF.",GRANJAS MODERNAS-SAN JUAN DE ARAGON (AMPL),GUSTAVO A. MADERO,19.47907790655,-99.10410305624
"INTERVENCION TEMPRANA, PREESCOLAR, PRIMARIA Y CAPACITACION LABORAL ESPECIAL - CENTRO DE ATENCION MULTIPLE No. 31","MANUELA MEDINA  Y EST  DOLORES GUERRERO, UNIDAD HABITACIONAL CTM OCHO, DELEGACION COYOACAN, MEXICO DF.",CTM VIII CULHUACAN (U HAB),COYOACAN,19.31532557564853,-99.10673142167444
SECUNDARIA TECNICA INDUSTRIAL - ESCUELA SECUNDARIA TECNICA 67,"SAN ALEJANDRO ESQ. SAN JORGE Y SAN EMETERIO, PEDREGAL DE SANTA URSULA, DELEGACION COYOACAN, MEXICO DF.",PEDREGAL DE SANTA URSULA III,COYOACAN,19.3075748890642,-99.15570008659844
SECUNDARIA GENERAL - JUAN JOSE ARREOLA ZUÑIGA,"U HAB VILLA CENTROAMERICANA, VILLA CENTROAMERICA Y DEL CARIBE, DELEGACION TLAHUAC, MEXICO DF.",VILLA CENTROAMERICANA (U HAB),TLAHUAC,19.28251098371,-99.05620007966
